fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
1988-3,76,2.8(29),3,67.0,0.0,3.0,7.4,1028.3(11),3.0,1016.4,1015.8,5.6,24.5(17),11.2,0.0,0.0,2,31/18.6(30),0.0,26,62.0,0.0,5.0,-1.4(01),297.0,95.0,0.0,1.0,890.0,5.4,6.0,0.0,16.0,2.0,11.5,0.0,11.4,17.2,0.0,1001.5(30),3.0,
1988-4,76,13.5(26),10,79.0,0.0,1.0,5.6,1019.1(13),2.0,1012.9,1012.3,9.1,21.6(23),12.0,0.0,0.0,1,05/22.2(03),2.0,19,42.0,0.0,13.0,4.0(02),251.0,127.0,0.0,0.0,570.0,68.6,15.0,4.0,13.0,0.0,13.5,0.0,13.6,18.2,0.0,1002.8(03),11.0,
1988-5,76,9.7(10),9,79.0,0.0,2.0,6.1,1021.4(20),1.0,1012.3,1011.7,12.6,24.8(29),14.6,0.0,0.0,1,08/16.9(06),0.0,21,42.0,0.0,7.0,8.8(02),227.0,161.0,0.0,1.0,578.0,33.0,12.0,3.0,12.0,0.0,18.5,0.0,16.9,21.2,0.0,1002.4(12),6.0,
1988-6,76,32.0(26),5,74.0,0.0,0.0,8.2,1019.5(02),0.0,1013.1,1012.5,15.0,27.8(20),19.5,0.0,0.0,4,25/15.0(26),1.0,21,54.0,0.0,13.0,10.8(08),230.0,183.0,1.0,0.0,729.0,53.8,17.0,6.0,13.0,0.0,18.6,0.0,19.8,24.6,0.0,1006.2(30),6.0,
1988-7,76,0.6(23),0,69.0,0.0,0.0,10.9,1021.2(25),1.0,1015.8,1015.2,18.1,31.0(21),20.4,1.0,0.0,18,23/15.6(02),0.0,13,74.0,0.0,1.0,14.6(06),226.0,212.0,0.0,0.0,945.0,0.6,1.0,0.0,14.0,0.0,25.4,0.0,23.1,28.1,0.0,1003.5(05),0.0,
1988-8,76,1.9(21),2,72.0,0.0,0.0,9.0,1018.6(01),0.0,1014.2,1013.7,18.8,32.4(03),23.4,11.0,0.0,12,27/13.1(03),0.0,17,65.0,0.0,1.0,16.0(21),225.0,228.0,0.0,0.0,967.0,1.9,3.0,0.0,14.0,0.0,24.0,0.0,23.8,28.8,0.0,1004.0(03),1.0,
1988-9,76,45.2(29),4,73.0,1.0,0.0,8.3,1025.2(25),1.0,1018.1,1017.5,15.9,30.4(06),19.0,2.0,0.0,11,10/18.9(30),4.0,15,67.0,0.0,6.0,10.2(15),237.0,191.0,1.0,0.0,813.0,103.6,5.0,4.0,13.0,0.0,21.0,0.0,21.0,26.0,0.0,1002.3(01),4.0,
1989-10,76,5.0(10),2,76.0,0.0,1.0,6.9,1026.3(17),,1019.7,1019.1,12.7,25.8(08),16.0,0.0,0.0,8,,0.0,21,62.0,,4.0,10.4(14),,158.0,0.0,0.0,591.0,8.4,5.0,0.0,12.0,0.0,19.0,0.0,17.8,22.9,0.0,1002.4(08),3.0,
1989-11,76,58.0(16),13,77.0,0.0,4.0,3.6,1024.7(10),,1013.7,1013.2,10.5,22.8(01),13.5,0.0,0.0,1,,4.0,16,36.0,,11.0,6.0(06),,129.0,1.0,0.0,551.0,142.6,13.0,3.0,13.0,0.0,14.4,0.0,14.4,18.3,0.0,998.8(22),11.0,
1989-12,76,16.4(27),5,77.0,0.0,0.0,3.9,1031.7(02),,1013.8,1013.2,8.8,20.0(17),13.2,0.0,0.0,2,,1.0,24,42.0,,7.0,3.0(25),,114.0,0.0,0.0,928.0,27.9,8.0,0.0,14.0,0.0,12.8,0.0,12.4,15.8,0.0,998.0(18),5.0,
1989-13,76,71.2(03/jun),61,74.0,0.0,10.0,6.8,1041.9(12/feb),,1017.0,1016.4,11.8,32.6(22/ago),24.0,18.0,0.0,64,,15.0,240,55.0,,76.0,0.8(01/ene),,151.0,3.0,0.0,8612.0,573.2,102.0,22.0,14.0,0.0,9.0,0.0,16.4,21.0,0.0,976.1(25/feb),60.0,
1989-1,76,3.6(06),4,76.0,0.0,0.0,4.9,1037.6(15),0.0,1029.7,1029.1,3.6,16.0(15),6.4,0.0,0.0,13,34/13.3(23),0.0,14,51.0,0.0,2.0,0.8(01),312.0,86.0,0.0,0.0,479.0,4.7,3.0,0.0,12.0,0.0,9.0,0.0,8.8,14.0,0.0,1015.5(06),2.0,
1989-2,76,3.6(25),2,71.0,0.0,1.0,6.8,1041.9(12),6.0,1022.0,1021.3,4.7,20.2(19),8.6,0.0,0.0,4,27/23.1(26),0.0,22,64.0,0.0,5.0,1.6(25),301.0,91.0,0.0,0.0,629.0,8.3,8.0,0.0,14.0,0.0,13.6,0.0,10.3,15.9,0.0,976.1(25),3.0,
1989-3,76,6.1(30),6,75.0,0.0,0.0,6.0,1024.8(11),6.0,1016.9,1016.3,7.6,23.0(22),12.0,0.0,0.0,1,07/24.4(30),0.0,24,50.0,0.0,6.0,4.0(13),327.0,111.0,0.0,0.0,712.0,32.9,9.0,2.0,18.0,0.0,13.4,0.0,12.5,17.4,0.0,1002.4(16),6.0,
1989-4,76,21.8(24),9,68.0,0.0,2.0,6.8,1019.1(30),7.0,1009.1,1008.5,8.0,21.5(11),12.5,0.0,0.0,1,29/21.1(13),2.0,20,51.0,0.0,10.0,3.8(04),330.0,106.0,0.0,0.0,877.0,63.6,12.0,2.0,18.0,0.0,13.4,0.0,12.9,17.8,0.0,991.8(03),6.0,
1989-5,76,9.4(13),7,74.0,0.0,0.0,8.6,1024.6(14),6.0,1016.9,1016.3,12.0,24.5(23),17.8,0.0,0.0,9,06/23.9(24),0.0,15,59.0,0.0,4.0,6.0(01),281.0,154.0,0.0,0.0,830.0,14.4,9.0,2.0,17.0,0.0,17.6,0.0,16.7,21.5,0.0,1007.9(31),3.0,
1989-6,76,71.2(03),4,76.0,0.0,0.0,10.0,1020.3(11),0.0,1015.8,1015.2,15.5,28.2(25),20.0,0.0,0.0,8,22/15.0(22),3.0,18,66.0,0.0,6.0,10.4(04),217.0,196.0,1.0,0.0,718.0,114.2,7.0,3.0,14.0,0.0,19.0,0.0,20.1,24.7,0.0,1009.8(01),5.0,
1989-7,76,1.7(02),1,70.0,0.0,0.0,10.5,1019.5(21),0.0,1016.7,1016.1,20.1,30.5(27),23.2,5.0,0.0,12,07/11.9(06),0.0,18,71.0,0.0,1.0,17.2(19),231.0,234.0,0.0,0.0,871.0,1.7,5.0,1.0,13.0,0.0,26.6,0.0,24.4,28.6,0.0,1011.3(01),1.0,
1989-8,76,63.4(30),2,74.0,0.0,0.0,8.4,1020.5(18),,1013.7,1013.2,20.8,32.6(22),24.0,13.0,0.0,4,,2.0,25,61.0,,9.0,17.0(31),234.0,243.0,1.0,0.0,647.0,95.7,10.0,7.0,12.0,0.0,24.0,0.0,25.0,29.3,0.0,1005.6(05),8.0,
1989-9,76,19.8(07),6,75.0,0.0,2.0,5.7,1021.0(20),,1015.6,1015.0,16.7,28.6(01),20.5,0.0,0.0,1,,3.0,23,46.0,,11.0,12.6(11),243.0,193.0,0.0,0.0,779.0,58.8,13.0,2.0,13.0,0.0,22.6,0.0,21.1,25.6,0.0,1005.4(11),7.0,
1990-10,76,77.2(07),8,74.0,0.0,0.0,4.9,1021.0(05),,1011.4,1010.8,14.2,27.6(30),19.0,0.0,0.0,4,,7.0,19,44.0,,15.0,10.0(27),,161.0,2.0,0.0,3041.0,212.0,18.0,6.0,15.0,0.0,18.0,0.0,18.4,22.6,0.0,997.5(29),12.0,
1990-11,76,21.3(10),4,76.0,0.0,1.0,5.9,1024.5(12),,1014.4,1013.8,8.7,20.3(19),13.5,0.0,0.0,2,,3.0,24,60.0,,5.0,3.2(27),,114.0,0.0,0.0,,61.5,6.0,0.0,10.0,0.0,10.5,0.0,12.7,16.7,0.0,991.6(25),5.0,
1990-12,76,13.2(08),3,71.0,0.0,2.0,4.9,1026.0(20),,1016.8,1016.2,3.6,18.4(29),9.0,0.0,0.0,9,,1.0,19,53.0,,2.0,0.0(12),,79.0,0.0,0.0,2597.0,17.8,3.0,1.0,13.0,1.0,6.5,0.0,8.1,12.6,0.0,993.6(09),2.0,
1990-13,76,77.2(07/oct),47,71.0,0.0,16.0,6.8,1039.2(04/mar),,1017.2,1016.6,12.4,33.8(03/ago),24.0,22.0,0.0,68,,24.0,250,55.0,,64.0,0.0(12/dic),,146.0,4.0,3.0,,684.2,84.0,18.0,13.0,1.0,6.5,0.0,16.7,20.9,0.0,991.6(25/nov),56.0,
1990-1,76,8.4(03),3,72.0,0.0,0.0,5.4,1034.2(08),,1023.4,1022.8,5.5,19.0(25),11.6,0.0,0.0,7,,0.0,21,56.0,,4.0,1.8(23),,90.0,0.0,0.0,2354.0,17.4,6.0,0.0,14.0,0.0,10.8,0.0,10.0,14.6,0.0,1004.1(28),4.0,
1990-2,76,0.0(--),2,72.0,0.0,5.0,5.2,1035.3(23),,1020.9,1020.3,8.7,24.5(27),13.8,0.0,0.0,4,,0.0,22,49.0,,0.0,5.7(27),,109.0,0.0,2.0,814.0,0.0,0.0,0.0,15.0,0.0,14.0,0.0,13.1,17.5,0.0,1001.3(14),0.0,
