fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,nw_55,w_racha,nw_91,ts_20,ts_10,ts_50
1989-10,1505,24.0(22),10.0,74.0,0.0,10.0,5.6,975.3(07),1019.3,967.2,7.5,28.2(04),13.2,0.0,0.0,4.0,5.0,17.0,51.0,10.0,1.0(16),229.0,119.0,0.0,8.0,752.0,100.5,11.0,1.0,13.0,0.0,13.8,0.0,14.2,21.0,0.0,951.4(27),9.0,3.0,24/18.3(18),0.0,15.0,14.9,15.4
1989-11,1505,28.3(02),19.0,83.0,0.0,6.0,2.1,973.1(03),1010.9,958.5,6.3,20.2(13),11.4,0.0,0.0,0.0,3.0,11.0,21.0,23.0,-2.2(10),212.0,105.0,0.0,3.0,444.0,127.5,23.0,0.0,11.0,1.0,9.6,0.0,10.3,14.3,0.0,937.8(18),20.0,3.0,16/18.6(18),0.0,10.6,10.1,11.8
1989-12,1505,41.8(20),13.0,81.0,0.0,6.0,1.8,973.9(02),1009.2,956.8,5.9,17.2(15),11.8,0.0,0.0,0.0,9.0,18.0,20.0,23.0,0.0(27),,101.0,1.0,4.0,526.0,230.9,23.0,1.0,14.0,2.0,9.6,0.0,9.8,13.7,0.0,933.3(16),15.0,,,,9.4,9.0,10.3
1989-13,1505,41.8(20/dic),,76.0,6.0,138.0,,,,,6.4,36.0(19/jul),17.2,5.0,,,34.0,,,150.0,-9.2(02/ene),,116.0,3.0,,,995.3,149.0,25.0,,46.0,4.6,2.0,12.6,18.8,,,114.0,,,,13.8,14.3,13.3
1989-1,1505,25.1(06),8.0,85.0,0.0,18.0,4.0,987.9(05),1030.5,975.9,-1.7,15.4(13),5.8,0.0,0.0,6.0,1.0,17.0,42.0,7.0,-9.2(02),145.0,74.0,0.0,13.0,399.0,33.3,7.0,0.0,7.0,20.0,4.6,0.0,4.8,11.3,0.0,963.4(25),4.0,0.0,16/15.0(25),0.0,4.4,3.9,5.8
1989-2,1505,21.3(25),12.0,78.0,2.0,12.0,3.9,989.2(12),1023.5,969.8,0.0,19.8(19),10.0,0.0,0.0,6.0,5.0,10.0,38.0,11.0,-7.0(07),251.0,78.0,0.0,8.0,568.0,114.8,9.0,1.0,13.0,15.0,7.4,0.0,7.1,14.2,0.0,933.2(25),9.0,4.0,27/24.4(25),0.0,5.7,5.8,6.4
1989-3,1505,32.2(27),11.0,73.0,0.0,7.0,5.4,977.7(22),1019.3,966.4,2.5,25.0(11),8.6,0.0,0.0,2.0,2.0,18.0,45.0,12.0,-4.4(14),235.0,89.0,2.0,7.0,693.0,91.5,14.0,0.0,13.0,7.0,10.2,0.0,9.6,16.8,0.0,951.9(27),9.0,2.0,24/18.9(27),0.0,9.9,10.5,9.3
1989-4,1505,21.9(12),,78.0,3.0,2.0,,,,,3.3,19.4(21),8.0,0.0,,,4.0,,,23.0,-0.2(08),,87.0,0.0,,,124.2,18.0,1.0,,1.0,6.4,2.0,8.4,13.4,,,18.0,,,,10.1,10.5,9.9
1989-5,1505,22.5(28),10.0,73.0,1.0,12.0,7.0,975.1(16),1015.9,964.3,8.5,29.8(05),12.4,0.0,0.0,6.0,2.0,15.0,48.0,17.0,2.6(14),157.0,133.0,0.0,10.0,716.0,80.5,16.0,12.0,9.0,0.0,14.6,0.0,15.7,22.9,0.0,958.8(22),14.0,1.0,27/18.9(08),0.0,17.4,19.0,15.3
1989-6,1505,13.4(15),8.0,75.0,0.0,23.0,6.5,970.7(28),1017.6,966.1,9.6,27.6(21),16.6,0.0,0.0,6.0,1.0,16.0,43.0,7.0,3.8(06),187.0,149.0,0.0,9.0,628.0,28.8,7.0,3.0,,0.0,15.4,0.0,16.0,22.4,0.0,961.4(24),5.0,0.0,16/15.0(15),0.0,19.6,21.0,17.4
1989-7,1505,18.9(06),7.0,73.0,0.0,12.0,8.9,973.5(26),1018.0,967.1,13.6,36.0(19),17.2,5.0,0.0,5.0,1.0,19.0,59.0,7.0,10.6(15),,172.0,0.0,5.0,842.0,23.2,8.0,2.0,,0.0,18.4,0.0,19.9,26.1,0.0,959.7(20),2.0,,,,22.9,24.8,20.3
1989-8,1505,9.4(15),6.0,74.0,0.0,15.0,7.5,972.9(22),1015.6,964.7,12.7,29.0(11),16.4,0.0,0.0,1.0,0.0,24.0,54.0,5.0,7.8(17),227.0,165.0,0.0,10.0,823.0,24.1,8.0,3.0,13.0,0.0,21.4,0.0,19.1,25.5,0.0,955.9(05),5.0,0.0,25/12.8(14),0.0,22.0,23.3,20.3
1989-9,1505,10.4(18),2.0,68.0,0.0,15.0,7.9,970.1(22),1017.4,965.7,8.0,28.6(25),14.0,0.0,0.0,6.0,1.0,22.0,63.0,5.0,1.6(23),216.0,120.0,0.0,13.0,904.0,16.0,5.0,1.0,13.0,0.0,16.0,0.0,15.8,23.6,0.0,958.7(07),4.0,2.0,04/16.1(05),0.0,18.5,19.0,17.9
1990-10,1505,35.0(14),,80.0,0.0,6.0,3.8,973.6(05),1012.5,960.4,8.0,25.6(11),13.8,0.0,0.0,,6.0,,34.0,22.0,1.4(06),,118.0,1.0,5.0,605.0,181.6,22.0,2.0,12.0,0.0,12.0,0.0,12.7,17.3,0.0,947.3(22),21.0,,,,13.7,11.9,
1990-11,1505,20.5(20),,89.0,0.0,15.0,3.1,981.5(15),1018.6,965.3,2.4,19.0(12),9.2,0.0,0.0,,6.0,,32.0,15.0,-5.8(30),,97.0,0.0,12.0,206.0,135.8,16.0,1.0,,9.0,4.4,0.0,7.3,12.3,0.0,945.1(25),13.0,,,,9.3,7.3,
1990-12,1505,37.0(30),,84.0,0.0,7.0,3.9,975.2(12),1021.8,967.7,-0.1,13.8(29),11.8,0.0,0.0,,3.0,,43.0,16.0,-6.2(07),206.0,75.0,1.0,6.0,287.0,102.4,13.0,1.0,9.0,18.0,3.2,3.0,4.4,9.0,0.0,952.1(09),12.0,1.0,19/16.4(29),0.0,4.7,3.1,
1990-13,1505,37.0(30/dic),,76.0,0.0,70.0,,984.0(02/mar),1019.1,966.8,6.3,41.2(20/jul),19.0,25.0,,,23.0,,,156.0,-6.2(07/dic),,116.0,2.0,,,780.1,155.0,10.0,,48.0,3.2,3.0,12.3,18.4,,942.3(06/abr),121.0,,,,,,
1990-1,1505,27.2(27),,83.0,0.0,9.0,3.0,982.5(08),1024.4,970.4,1.6,14.4(24),10.0,0.0,,,5.0,,32.0,18.0,-5.4(11),,77.0,0.0,,,103.8,19.0,0.0,12.0,12.0,3.6,0.0,5.8,10.1,,943.5(27),13.0,4.0,18/21.1(29),0.0,6.2,5.4,7.6
1990-2,1505,13.6(01),,78.0,0.0,0.0,,979.1(21),1022.2,969.3,5.6,23.8(23),10.8,0.0,,,2.0,,,13.0,-0.8(04),,101.0,0.0,,,59.8,13.0,0.0,,1.0,8.8,0.0,10.1,14.5,,953.3(01),13.0,,,,,,
1990-3,1505,5.5(08),,67.0,0.0,0.0,,984.0(02),1027.2,973.9,2.1,27.8(19),7.0,0.0,,,0.0,,,7.0,-3.2(27),,84.0,0.0,,,14.8,7.0,0.0,11.0,8.0,8.4,0.0,10.0,17.9,,958.1(31),6.0,4.0,06/19.4(03),0.0,,,
1990-4,1505,9.4(06),,83.0,0.0,0.0,,980.0(17),1018.1,965.1,3.7,26.0(30),12.2,0.0,,,0.0,,,22.0,0.2(18),,97.0,0.0,,,73.6,22.0,0.0,11.0,0.0,7.8,0.0,8.6,13.6,,942.3(06),15.0,3.0,19/16.7(01),0.0,,,
