Total Nacional;Comunidades y Ciudades Autónomas;Origen del agua;periodo;Total
España;Cataluña;Aguas subterráneas;2008;15.912
España;Cataluña;Aguas subterráneas;2007;11.593
España;Cataluña;Aguas subterráneas;2006;12.362
España;Cataluña;Aguas subterráneas;2005;17.396
España;Cataluña;Aguas subterráneas;2004;7.749
España;Cataluña;Aguas subterráneas;2003;17.841
España;Cataluña;Aguas subterráneas;2002;9.679
España;Cataluña;Aguas subterráneas;2001;194.810
España;Cataluña;Aguas subterráneas;2000;66.029
España;Cataluña;Otros recursos hídricos;2018;5.811
España;Cataluña;Otros recursos hídricos;2016;10.540
España;Cataluña;Otros recursos hídricos;2015;11.580
España;Cataluña;Otros recursos hídricos;2014;12.542
España;Cataluña;Otros recursos hídricos;2013;13.584
España;Cataluña;Otros recursos hídricos;2012;12.597
España;Cataluña;Otros recursos hídricos;2011;15.160
España;Cataluña;Otros recursos hídricos;2010;615
España;Cataluña;Otros recursos hídricos;2009;904
España;Cataluña;Otros recursos hídricos;2008;706
España;Cataluña;Otros recursos hídricos;2007;1.047
España;Cataluña;Otros recursos hídricos;2006;1.222
España;Cataluña;Otros recursos hídricos;2005;6.356
España;Cataluña;Otros recursos hídricos;2004;4.979
España;Cataluña;Otros recursos hídricos;2003;29.190
España;Cataluña;Otros recursos hídricos;2002;38.494
España;Cataluña;Otros recursos hídricos;2001;253.592
España;Cataluña;Otros recursos hídricos;2000;365.892
España;Comunitat Valenciana;Total;2018;1.650.121
España;Comunitat Valenciana;Total;2016;2.078.700
España;Comunitat Valenciana;Total;2015;2.050.481
España;Comunitat Valenciana;Total;2014;2.375.421
España;Comunitat Valenciana;Total;2013;1.485.625
España;Comunitat Valenciana;Total;2012;1.726.130
España;Comunitat Valenciana;Total;2011;1.676.440
España;Comunitat Valenciana;Total;2010;1.764.793
España;Comunitat Valenciana;Total;2009;2.045.822
España;Comunitat Valenciana;Total;2008;1.618.148
España;Comunitat Valenciana;Total;2007;1.562.002
España;Comunitat Valenciana;Total;2006;1.679.986
España;Comunitat Valenciana;Total;2005;1.837.637
España;Comunitat Valenciana;Total;2004;1.996.521
España;Comunitat Valenciana;Total;2003;2.133.295
España;Comunitat Valenciana;Total;2002;2.002.655
España;Comunitat Valenciana;Total;2001;2.455.308
España;Comunitat Valenciana;Total;2000;2.391.062
España;Comunitat Valenciana;Aguas superficiales;2018;981.822
España;Comunitat Valenciana;Aguas superficiales;2016;1.274.243
España;Comunitat Valenciana;Aguas superficiales;2015;1.273.349
España;Comunitat Valenciana;Aguas superficiales;2014;1.482.421
España;Comunitat Valenciana;Aguas superficiales;2013;896.223
España;Comunitat Valenciana;Aguas superficiales;2012;1.054.029
España;Comunitat Valenciana;Aguas superficiales;2011;1.238.180
España;Comunitat Valenciana;Aguas superficiales;2010;1.331.262
España;Comunitat Valenciana;Aguas superficiales;2009;1.448.301
España;Comunitat Valenciana;Aguas superficiales;2008;1.131.845
España;Comunitat Valenciana;Aguas superficiales;2007;1.044.820
España;Comunitat Valenciana;Aguas superficiales;2006;1.288.236
España;Comunitat Valenciana;Aguas superficiales;2005;1.487.375
España;Comunitat Valenciana;Aguas superficiales;2004;1.737.799
España;Comunitat Valenciana;Aguas superficiales;2003;1.974.329
España;Comunitat Valenciana;Aguas superficiales;2002;1.770.627
España;Comunitat Valenciana;Aguas superficiales;2001;1.852.260
España;Comunitat Valenciana;Aguas superficiales;2000;2.201.994
España;Comunitat Valenciana;Aguas subterráneas;2018;557.741
España;Comunitat Valenciana;Aguas subterráneas;2016;656.869
España;Comunitat Valenciana;Aguas subterráneas;2015;649.850
España;Comunitat Valenciana;Aguas subterráneas;2014;745.750
España;Comunitat Valenciana;Aguas subterráneas;2013;483.528
España;Comunitat Valenciana;Aguas subterráneas;2012;574.358
España;Comunitat Valenciana;Aguas subterráneas;2011;355.720
España;Comunitat Valenciana;Aguas subterráneas;2010;336.080
España;Comunitat Valenciana;Aguas subterráneas;2009;488.701
España;Comunitat Valenciana;Aguas subterráneas;2008;422.803
España;Comunitat Valenciana;Aguas subterráneas;2007;451.727
España;Comunitat Valenciana;Aguas subterráneas;2006;300.186
España;Comunitat Valenciana;Aguas subterráneas;2005;282.355
España;Comunitat Valenciana;Aguas subterráneas;2004;117.909
España;Comunitat Valenciana;Aguas subterráneas;2003;132.180
España;Comunitat Valenciana;Aguas subterráneas;2002;127.581
España;Comunitat Valenciana;Aguas subterráneas;2001;321.340
España;Comunitat Valenciana;Aguas subterráneas;2000;129.115
España;Comunitat Valenciana;Otros recursos hídricos;2018;110.558
España;Comunitat Valenciana;Otros recursos hídricos;2016;147.588
España;Comunitat Valenciana;Otros recursos hídricos;2015;127.282
España;Comunitat Valenciana;Otros recursos hídricos;2014;147.250
España;Comunitat Valenciana;Otros recursos hídricos;2013;105.874
